organizer_name,website,phone,email
ESA (Electronic Security Association),http://www.esaweb.org/,+1 (972) 807-6800,
Publitec,http://www.publitec.com.ar/,+54 (11) 4903-9600,info@publitec.com.ar
AIA (American Institute of Architects),http://www.aia.org/,+1 (202) 626-7300,BoardofDirectors@aia.org
CAIP (Cámara Argentina de la Industria Plástica),http://www.caip.org.ar/,+54 (11) 4821-9603,caip@caip.org.ar
"KJ Expositions, Inc.",http://www.inats.com/,+1 (303) 368-0060,Kjexpo@aol.com
AVIXA (Audiovisual and Integrated Experience Association),http://www.avixa.org/,+1 (703) 273-7200,membership@avixa.org
IQPC New York,http://www.iqpc.com/,+1 (212) 885 2700,enquiry@iqpc.com
PMMI Latin America Office,http://www.pmmi.org/,+52 (55) 5545-4254,latina@pmmi.org
Northstar Travel Media LLC.,http://www.northstartravelgroup.com/,+1 (201) 902-2000,
"MP Associates, Inc.",http://www.mpassociates.com/,+1 (303) 530-4562,kevin@mpassociates.com
EventWorx Corporation,http://www.eventworxcorporation.com/,+1 (403) 971-3227,marketing@eventworx.ca
CBAA (Canadian Business Aviation Association),http://www.cbaa.ca/,+1 (613) 236-5611,info@cbaa.ca
Grupo Trade Show,http://www.ts.com.mx/,+52 55 5077-4742,ventas@ts.com.mx
"FIME (International Medical Exposition, Inc).",http://www.fimeshow.com/,+1 (941) 366-2554,Fime@informa.com
Informa Life Sciences Exhibitions,http://informalifesciences.com/en,+971 4.3365161,info@lifesciences-exhibitions.com
AWMA (Air & Waste Management Association),http://www.awma.org/,+1 (412) 232-3444,info@awma.org
"InterTech Americas, Corp.",http://www.latampaper.com/,+1 (813) 940 6989,admin@latampaper.com
SIA (SnowSports Industries America),http://www.snowsports.org/,+1 (435) 657-5140,info@snowsports.org
Vision Star Entertainment Inc,http://www.europaexpo.com/,,BettyPariso@aol.com
ABF (Associação Brasileira de Franchising),http://www.abf.com.br/,+55 (11) 3020-8800,internacional@abf.com.br
Media Edge Communications Inc.,http://www.mediaedge.ca/,+1 (416) 512-8186,info@mediaedge.ca
NSTI (Nano Science and Technology Institute),http://www.nsti.org/,+1 (925) 353-5004,mlaudon@nsti.org
IAHE (International Association for Hydrogen Energy),http://www.iahe.org/,,info@iahe.org
EFCA (Exposiciones y Ferias de la Construcción Argentina),http://www.batev.com.ar/,+54 (11) 4343-7020,info@batev.com.ar
Real District,http://www.realdistrict.ca/,+1 (306) 781-9200,communications@real1884.ca
Caroline County Agricultural Fair Association,http://www.carolinefair.com/,+1 (804) 466-1507,
Landesmesse Stuttgart GmbH,http://www.messe-stuttgart.de/en,+49 711 18560-0,info@messe-stuttgart.de
Westmoreland Arts & Heritage,http://www.artsandheritage.com/,+1 (724) 834 7474,info@artsandheritage.com
Semi North America,http://www.semi.org/,+1 (408) 943 6900,semiexpositions@semi.org
Ludington Area Center for the Arts,http://www.ludingtonartscouncil.org/,+1 231 845 2787,info@ludingtonartscenter.org
WoodenBoat Show,http://www.woodenboat.com/,+1 (207) 359 4651,woodenboat@woodenboat.com
On Time Media LLC,http://www.ontimemedia.com/,+1 (859) 746-6210,
Kutztown Folk Festival,http://www.kutztownfestival.com/,+1 (888) 674 6136,
Cedar City Rotary Club,http://www.cedarcityrotaryclub.com/p/contact-us.html,+1 (435) 267-2145,cedarcityrotaryclub@gmail.com
SPJA (Society for the Promotion of Japanese Animation),http://www.spja.org/,+1 (714)  937-2994,info@spja.org
National Cherry Festival,http://www.cherryfestival.org/,+1 (231) 947-4230,info@cherryfestival.org
Anime Midwest,http://www.animemidwest.com/,,
Toronto Outdoor Art Exhibition,http://www.torontooutdoorart.org/,+1 (416) 408-2754,events@torontooutdoorart.org
Muskegon Lakeshore chamber of commerce,http://www.muskegon.org/,+1 (231) 722-3751,mlcc@muskegon.org
Weld County Colorado,http://www.co.weld.co.us/,+1 (970) 304 6535,jmasarie@weldgov.com
MAIA (Martial Arts Industry Association),http://www.masuccess.com/,+1 (866) 626-6226,info@masuccess.com
Cedar Creek Veterans Foundation,http://tocclairshow.com/ccvf.html,+1 (903) 451-3291,info@ccveteransfoundation.org
La Maison du Festival,http://www.montrealjazzfest.com/en-CA,+ 1 (514) 492-1775,commentaires_jazz@equipespectra.ca
Weatherford Chamber of Commerce,http://www.weatherford-chamber.com/,+1 (817) 596-3801,info@weatherford-chamber.com
Well Link Consultants Ltd,http://www.spinexpo.com/,+852 2824 8581,info@spinexpo.com
Central Pennsylvania Festival of the Arts,http://www.arts-festival.com/,+1 (814) 237 3682,
Lakeland Boat Show,http://www.lakelandboatshow.com/,+1 (727) 894-3644,info@lakelandboatshow.com
Medical Insight,http://www.miinews.com/,+1 (949) 830-5409,info@miinews.com
Messe Frankfurt Mexico,http://www.messefrankfurt.com.mx/,+52 (55) 5545-4488 ext 102,info@mexico.messefrankfurt.com
Circle of Janus Inc.,http://www.circleofjanus.org/,+1 (317) 694-6811,info@inconjunction.org
ASA (American Sportfishing Association),http://www.asafishing.org/,+1 (703) 519.9691,info@asafishing.org
Barr Enterprises,http://www.barrconferences.com/,+1 (301) 668-6001,janet@barrconferences.com
Brookings Summer Arts Festival Committee,http://www.bsaf.com/,+1 (605) 692-787,generalinfo@bsaf.com
"Latin Expo Group, LLC",http://www.latinexpogroup.com/,+1 (786) 293 5186,info@latinexpogroup.com
Digital Signage Expo,http://digitalsignageexpo.net/,+1 (770) 649 0300,info@digitalsignageexpo.net
Auction Comercial Promotora Ltda.,http://www.fipan.com.br/,+55 (11) 3105-6766,fipan@fipan.com.br
Sampapão (Sindicato e Associação dos Industriais de Panificação e Confeitaria de São Paulo),http://www.sindipan.org.br/,+55 (11) 3291-3700,contato@sindipan.org.br
TRA (Texas Restaurant Association),http://www.txrestaurant.org/,+1 (512) 457-4100,membership@tramail.org
AACC (American Association for Clinical Chemistry),http://www.aacc.org/,+1 (800) 892-1400,custserv@aacc.org
Burning Man Project,http://burningman.org/,,
IFPA (International Fresh Produce Association),http://www.freshproduce.com/,+1 (202) 303-3400,memberservices@freshproduce.com
ACM Siggraph,http://www.siggraph.org/,+1 (212) 626-0500,acmhelp@acm.org
IFT (Institute of Food Technologists),http://www.ift.org/,+1 (312) 782-8424,info@ift.org
Ohio Expo Center & State Fair,http://www.ohiostatefair.com/,+1 (614) 644-3247,info@expo.state.oh.us
Iola Old Car Show Inc,http://www.iolaoldcarshow.com/,+1 (715) 445-4000,Information@iolaoldcarshow.com
ISN,http://www.isnweb.com/,+1 (800) 603-4389,
Penton Media Conferences and Exhibitions,http://www.penton.com/,+1 (216) 696-7000,corpcomm@penton.com
Seafair,http://www.seafair.com/,+1 (206) 728 0123,info@seafair.com
ACGA (Association of Clay & Glass Artist of California),http://www.acga.net/,+1 (925) 254-8457,jan_schachter@sbcglobal.net
IFAA (International Folk Art Alliance),http://www.folkartalliance.org/,+1 (505) 992-7600,askus@folkartalliance.org
Renaissance Craftables,http://www.renaissancecraftables.com/,+1 (215) 843-4462,
CCPIA (China Crop Protection Industry Association),http://www.ccpia.com.cn/en,+86 010 84885255,ccpia@126.com
Guilford Art Center,http://www.guilfordartcenter.org/,+1 (203) 453-5947,
Milestone Presentations LLC,http://www.milestoneshows.com/,+1 (303) 690-3233,info@milestoneshows.com
Life Promotions Inc.,http://www.lifepromotions.org/,+1 (920) 738-5588,info@lifepromotions.com
ANDAV (Associação Nacional dos Distribuidores de Insumo Agrícolas e Veterinários),http://www.andav.com.br/,+55 (19) 3203.9884,comunicacao@andav.com.br
Veronafiere,http://www.veronafiere.it/,+39 045 8298111,info@veronafiere.it
Vancouver Wine & Jazz Festival,http://www.vancouverwinejazz.com/,+1 (360) 906-0441,info@vancouverwinejazz.com
Real Alliance,http://real-alliance.com.br/,+55 11 5095 0096,info@bmcomm.com.br
IDEAg Group LLC,http://www.ideaggroup.com/,+1 (800) 827-8007,IDEAg@ideaggroup.com
AFAMJAL (Asociación De Fabricantes De Muebles De Jalisco AC),http://afamjal.com.mx/,+52 33 3343 3400,tecnomueble@afamjal.com.mx
Black Hat,http://www.blackhat.com/,+1 (866) 203 8081,blackhatregistration@informa.com
FedeFruta (Federación Gremial Nacional de Productores de Frutas de Chile),http://www.fedefruta.cl/,+56 (2) 585 45 00,info@fedefruta.cl
Conseil des métiers d'art de Québec,http://www.metiersdart.ca/,+1 (514) 861-2787,info@metiersdart.ca
ABAG (Associação Brasileira de Aviação Geral),http://www.abag.org.br/,+55 (11) 5032-2727,abag@abag.org.br
RISI,http://www.risiinfo.com/,+1 (781) 734.8900,events@risi.com
Solar Promotion GmbH,http://www.intersolar.de/,+49 (0)7231-58598-0,info@intersolar.de
Grupo ArtSim Administrador de Eventos Ltda.,http://www.feiplar.com.br/,+55 11 2899-6381,consultoria@artsim.com.br
ATMA (American Textile Machinery Association),http://www.atmanet.org/,+1 (703) 538-1789,info@atmanet.org
APIPLAST (Asociación Peruana de la Industria del Plástico),http://apiplastperu.com/,+51 952 246 987,apiplast@apiplastperu.com
G -Trade Group,http://www.grafinca.com/,+51 242-4646 / 447-7379,info@perugrafico.com
Festival mode et design de Montréal,http://www.sensationmode.com/,+1 (514) 876-1499,info@sensationmode.com
ICO (International Council of Ophtalmology),http://www.icoph.org/,,info@icoph.org
MEACO (Middle East African Council of Ophthalmology),http://www.meaco.org/,+966 1 466 1085,info@meaco.org
Administradora Dinamica de Negocios,http://www.a-d-n.com.mx/,+52 91-38-29-31,ventas@a-d-n.com.mx
Cintel,http://www.cintel.org.co/,+57 1 6404410,cgamboa@cintel.org.co
Adex,http://www.adexperu.org.pe/,+51 (1) 618-3333,expoalimentaria@adexperu.org.pe
Instituto de Ingenieros de Minas del Perú,http://www.iimp.org.pe/,+51 1 349-0449,postmast@iimp.org.pe
Festival International de la Poésie,http://www.fiptr.com/,+1 (819) 379-9813,mbaribeau@fiptr.com
NAIAS (North American International Auto Show),http://www.naias.com/,+1 (248) 643.0250,
Hannover Fairs USA,http://www.hfusa.com/,+1 (773) 796-4250,iana@hfusa.com
Fredericton Exhibition Ltd.,http://www.frex.ca/,+1 (506) 458-8819,info@nbex.ca
John Bailey & Associates,http://www.baileypr.com/,+1 (248) 362-4200,naias-media@baileypr.com
Creo,http://creoarts.com/,+44 207 886 3077,info@creoarts.com
Grupo um Editora,http://www.boatshow.com.br/,+55 (11) 2186-1000,info@boatshow.com.br
Promex,http://www.promex.com.mx/,+52 81 83 69 68 36,promex@infosel.net.mx
Reuters Events,http://reutersevents.com/,+44 (0) 207 513 8995,clientservices@reutersevents.com
ACOTAPH (Asociación Colombiana de Profesionales en Atención Prehospitalaria),http://www.acotaph.org/,+57 3102636678,acotaphdc@gmail.com
EMS world,http://www.emsworld.com/,+1 (920) 563-1759,Scott@emsworld.com
CEDIA (Custom Electronic Design & Installation Association),http://www.cedia.net/,+1 (317) 328-4336,
AMT (Association For Manufacturing Technology),http://www.amtonline.org/,+1 (800) 524-0475,AMT@amtonline.org
Beauty Fair - Office,http://www.beautyfair.com.br/,+55 (11) 3373-4633,
Duncan McIntosh Co. Inc.,http://www.duncanmcintoshco.com/,+1 (949) 660-6150,
HPP Worldwide,http://www.hppexhibitions.com/,+31 20 - 662 2482,info@hpp.nl
In-Water Power Boat Show,http://acinwaterboatshow.com/,+1 (215) 732-8001,
AMDEE (Asociación Mexicana de Energía Eólica),http://www.amdee.org/,+52 55 5395-9559,DanielaM@amdee.org
GWEC (Global Wind Energy Council),http://www.gwec.net/,+32 2213 1897,info@gwec.net
Grupo Digamma,http://www.digammaperu.com/,+51 1 628 6300,info@expominaperu.com
Tarsus Expositions Inc.,http://www.tarsus.com/,+1 (262) 782-1900,lhansen@tarsusgroup.com
Ralcoh (Ralcoh Agência de Comunicação),http://www.ralcoh.com.br/,+55 (11) 3257-4741,dayan@ralcoh.com.br
"IBP (Instituto Brasileiro de Petróleo, Gás e Biocombustíveis)",http://www.ibp.org.br/,+55 (21) 2112-9000,riooil@ibp.org.br
National Mining Association,http://www.nma.org/,+1 (202) 463-2611,rmaddalena@nma.org
"Kallman Worldwide, Inc.",http://www.kallman.com/,+1 (201) 251-2600,info@kallman.com
Mark Allen Group,http://www.markallengroup.com/,+44 (0)20 7738-5454,mabconferences@markallengroup.com
IMPC (International Mineral Processing Council),http://impc-council.com/,+27 (0)21 650 2752,meg.winter@uct.ac.za
"dmg :: events Middle East, Asia & Africa",http://www.dmgeventsme.com/,+971 4 438 0355,dmgdubai@dmgeventsme.com
"Northstar Travel Media, LLC.",http://www.northstarmeetingsgroup.com/,+1 (310) 954-2525,ledelstein@ntmllc.com
Hemming Group,http://www.hgluk.com/,+44 (0)20 7973 6400,info@hgluk.com
Mercoferias Srl,http://www.expomedical.com.ar/,+54 11-4791-8001,info@expomedical.com.ar
"Schneider Publishing Company, Inc",http://www.schneiderpublishing.com/,+1 (310) 577-3700,info@schneiderpublishing.com
UKIP Media & Events Ltd.,http://www.ukimediaevents.com/,+44 1306 743744,info@ukimediaevents.com
HPP Ecuador Cia. Ltda.,http://www.hppexhibitions.com/,+593-2-2270636,info@hppecuador.com
Pro Andes,http://www.proandes.net/,+56 2 342 42 67,info@expoandes.net
Associação Rural de Lages,http://www.lagesrural.com.br/,+55 (49) 3223 1892,sindicatorural@lagesrural.com.br
Plastic Concept S.A.C.,http://www.expotextilperu.com/,+51 (1) 714 9558,info@expotextilperu.com
Hannover Fairs do Brasil,http://www.hanover.com.br/,+55 (41) 30276707,hmcwb@hanover.com.br
The Fancy Tipple,http://thefancytipple.com/,+44 7440 687349,info@thefancytipple.com
SindusVinho (Sindicato da Indústria do Vinho de São Roque),http://www.sindusvinho.com.br/,+55 (11) 4712-3231,sindusvinho.sr@uol.com.br
"AQAVBS (Association Québecoise des Agences de Vins, Bières et Spiritueux)",http://www.aqavbs.com/,+1 (514) 722-4510,information@aqavbs.com
Osney Media,http://www.osneymedia.co.uk/,+44 (0) 20 7336 4600,info@osneymedia.co.uk
Prometheus Global Media,http://www.filmexpos.com/,+1 (212) 493-4097,robert.sunshine@filmexpos.com
Canadian Ski Council - Conseil Canadien du Ski,http://www.skicanada.org/,+1 (905) 856-4754,help@skicanada.org
International Titanium Association,http://www.titanium.org/,+1 (303) 404-2221,conference@titanium.org
Amartze Events LLC,http://bigboystoysvegas.com/,+1 (424) 253 0773,info@bigboystoysvegas.com
Artaaj Exhibitions,http://www.artaaj.com/,+971 4 321 4747,info@artaaj.com
Artaaj Events Pvt Ltd,http://www.artaaj.com/,+91 80 500 40 777,info@artaaj.com
WEF (Water Environment Federation),http://www.wef.org/,+1 (703) 684-2452,confinfo@wef.org
RPM Brasil,http://www.rpmbrasil.com.br/,+55 (11) 3051-3159,rpmbrasil@rpmbrasil.com.br
PromPerú (Comisión de Promoción del Perú para la Exportación y el Turismo),http://www.promperu.gob.pe/,+51 616-7300,postmaster@promperu.gob.pe
CTIA - The Wireless Association,http://www.ctia.org/,+1 (202) 785-0081,
APEX (Airline Passenger Experience Association),http://www.apex.aero/,+1 (212) 297-2177,info@apex.aero
AWS (American Welding Society),http://www.amweld.org/,+1 (800) 443-9353,info@aws.org
"FMA (Fabricators & Manufacturers Association, International)",http://www.fmanet.org/,+1 (815) 399-8700,info@fmanet.org
WTWH Media LLC,http://www.wtwhmedia.com/,+1 (888) 543-2447,info@wtwhmedia.com
"Robotics Trends, Inc.",http://www.roboticstrends.com/,+1 (508) 663-1500,info@roboticstrends.com
Hospitalmed,http://www.hospitalmed.com.br/,+55 (81) 3049-2549,contato@hospitalmed.com.br
Advamed,http://advamed.org/,+1 (202).434.1372,register@medtechconference.org
"ANTAD (Asociación Nacional de Tiendas de Autoservicio y Departamentales, A.C.)",http://antad.net/,+52 55 5580 9900,
ABEEólica (Associação Brasileira de Energia Eólica e Novas Tecnologias),http://abeeolica.org.br/,+55 (11) 3674-1100,faleconosco@abeeolica.org.br
Sellers Expositions,http://www.sellersusa.com/,+1 (800) 558 8767,info@sellersusa.com
Intermet,http://www.intermetperu.com/,+51 987975959,metalurgia@intermetperu.com
IDFA (International Dairy Foods Association),http://www.idfa.org/,+1 (202) 737-4332,kmadison@ntpshow.com
Réseau Environnement,http://www.reseau-environnement.com/,+1 (514) 270-7110,info@reseau-environnement.com
"PSMJ Resources, Inc.",http://www.psmj.com/,+1 (617) 965-0055,info@psmj.com
CMT (Centre for Management Technology),http://www.cmtevents.com/,+65 6345 7322 / 6346 9132,sasha@cmtsp.com.sg
USGBC (U.S. Green Building Council),http://www.usgbc.org/,,support@register.greenbuildexpo.org
Revista Ferroviaria,http://www.revistaferroviaria.com.br/,+55 11 3059-6063,eventos@revistaferroviaria.com.br
"ANIDIGRAF (Asociación Nacional de Industriales y Distribuidores para la Industria Gráfica, A.C.)",http://www.anidigraf.com.mx/,+52 (55) 5536 2533,info@expografica.com
Aéro Montréal,http://www.aeromontreal.ca/home.html,+1 (514) 987-9330,info@aeromontreal.ca
Creative Events Brazil,http://creativeeventsbrazil.com/en-gb,+55 11 94477 1424,info@creativeeventsbrazil.com
Clarion Events Brazil,http://www.clarionevents.com/,+55 11 3893-1307,vivian.lima@clarionevents.com
Toy Industry Association inc.,http://www.toyassociation.org/,+1 (212) 675 1141,info@toyassociation.org
Servicios Forestales y de Exposiciones,http://www.expocorma.cl/,+56 (2) 688 7978,expocorma@expocorma.cl
ASME (American Society of Mechanical Engineers),http://www.asme.org/,+1 (212) 705-7740,langleyk@asme.org
Ibram (Instituto Brasileiro de Mineração),http://www.ibram.org.br/,+55 (61) 226-9367,ibram@ibram.org.br
ICA (International Cartographic Association),http://www.icaci.org/,,william.cartwright@rmit.edu.au
Graphics Canada Organization,http://www.graphicscanada.com/,+1 (416) 385-2030,danmustata@graphicscanada.com
Nascimento Feiras e Eventos Ltda,http://www.nascimentofeiras.com.br/,+55 11 2338 8688,info@nascimentofeiras.com.br
Famex Organization,http://www.f-airmexico.com.mx/en,+52 (55) 7098 5299,comercial@f-airmexico.com.mx
Aprhorosa,http://www.hortigranjeiros.com.br/,+55 99977-5130,contato@hortigranjeiros.com.br
Messe Frankfurt Feiras,http://www.expoprint.com.br/,+55 11-4688-6000,info@messefrankfurtfeiras.com.br
Guazzelli Messe Frankfurt,http://www.guazzelli.com.br/,+55 (11) 4688 6000,guafair@guazzelli.com.br
BEMA (Baking Industry Suppliers Association),http://www.bema.org/,+1 (913) 338-1300,info@bema.org
MOVERGS (Associação das Indústrias de Móveis do Estado do Rio Grande do Sul),http://www.movergs.com.br/,+55 (54) 2102-2450,movergs@movergs.com.br
Asopartes,http://www.asopartes.com/,+57 (1) 3150506 /11/14,presidente@asopartes.com
