id,venue_name,city,state
1948,Trixxo Arena,Hasselt,
1949,Brandboxx Salzburg,Salzburg,
1950,Zeelandhallen,Goes,
1951,DeLaMar Theater,Amsterdam,
1952,Castellana 81,Madrid,
1953,"Salle des Fêtes, L'Isle-sur-la-Sorgue",L'Isle-sur-la-Sorgue,
1954,Pivdennyy-Expo,Lviv,
1955,Radisson Blu Daugava Hotel,Riga,
1956,IJsselhallen,Zwolle,
1957,CarraraFiere,Carrara,
1958,Stuttgart,Stuttgart,
1959,Dusseldorf,Dusseldorf,
1960,"Radisson Blu Royal Hotel, Bergen",Bergen,
1961,Royal Cornwall Showground,Wadebridge,
1962,Messe Wels,Wels,
1963,Waregem Expo,Waregem,
1964,InterContinental Istanbul,Istanbul,
1965,CPH Conference,Copenhagen,
1966,Motorwerk Berlin,Berlin,
1967,Milano Convention Centre - Fiera Milano Congressi,Milan,
1968,RheinMain CongressCenter,Wiesbaden,
1969,Halle Tony Garnier,Lyon,
1970,MEC Millenium Event Center,Braunschweig,
1971,Exhibition Center Innsbruck,Innsbruck,
1972,Palais de Beaulieu,Lausanne,
1973,Île des Impressionnistes,Chatou,
1974,Trieste Old Port Warehouses,Trieste,
1975,Parc des expositions de Mâcon,Mâcon,
1976,Lahti Sports and Trade Fair Centre,Lahti,
1977,Centre Expo Congrès - Mandelieu-la-Napoule,Mandelieu-La Napoule,
1978,"Lotte Hotel, Moscow",Moscow,
1979,Place Miot,Ajaccio,
1980,Recinte Firal de Girona,Girona,
1981,Hall 622 - Eventhalle,Zurich,
1982,WTC Barcelona,Barcelona,
1983,Bastia,Bastia,
1984,Espace Dollfus & Noack,Mulhouse,
1985,Expo Houten,Utrecht,
1986,Espace des Trois Provinces,Brive-la-Gaillarde,
1987,ICC - International Convention Center Ghent,Ghent,
1988,Hilton London Bankside,London,
1989,Brasov Business Park,Brasov,
1990,Waterfront Congress Centre,Stockholm,
1991,Exhibition Complex 'Expocentre',Volgograd,
1992,Disneyland Resort Paris,Paris,
1993,"Main Stage, Moscow",Moscow,
1994,Universitat de Barcelona,Barcelona,
1995,Vaidilos Theater,Vilnius,
1996,"O2 Universum, Praha",Prague,
1997,Rittal Arena Wetzlar,Wetzlar,
1998,Clayton Hotel Burlington Road,Dublin,
1999,Parc Expo du Breil,Saumur,
2000,Espace Mendès France,Saintes,
2001,Espace Culturel et de Congrès René-Cassin,Fontenay-le-Comte,
2002,Salle de sport des Gayeulles,Rennes,
2003,PAMexpo,Court-Saint-Étienne,
2004,EcoCenter Sokolniki,Moscow,
2005,Royal Highland Centre,Edinburgh,
2006,Kameha Grand Hotel Bonn,Bonn,
2007,Mahón (Balearic Islands),Mahón,
2008,Bilbao,Bilbao,
2009,Tottenham Hotspur Stadium,London,
2010,The Truman Brewery,London,
2011,AMA Aargauer Messe Aarau - Messegelände,Aarau,
2012,"Hôtel Intercontinental, Marseille",Marseille,
2013,Schloss Diedersdorf,Großbeeren,
2014,Parc des expositions Île l'Aumône,Mantes-la-Jolie,
2015,Cercle Royal Gaulois,Brussels,
2016,Hilton Stockholm Slussen,Stockholm,
2017,Ege Palas Business Hotel,Izmir,
2018,ZooParc de Beauval,Saint-Aignan,
2019,Messegelände Nordpark,Mönchengladbach,
2020,Parc des expositions de la Meilleraie - Cholet,Cholet,
2021,Paris La Défense Arena,Paris,
2022,Valencia Conference Centre,Valencia,
2023,Spazio Villa Erba,Como,
2024,Schloss Mondsee,Mondsee,
2025,"Cambridge Innovation Center, Warsaw",Warsaw,
2026,Alte Kelter,Fellbach,
2027,Ateliers des Capucins,Brest,
2028,Arena MK,Milton Keynes,
2029,"Centre Sportif, Les Rousses",Les Rousses,
2030,Maison de la Mécanique,Paris,
2031,Lviv Palace of Arts,Lviv,
2032,Expo Georgia Exhibition Center,Tbilisi,
2033,Monaco,Monaco,
2034,La Cité du Design,Saint-Étienne,
2035,Casino Bellevue,Biarritz,
2036,Halle Samexpo,St-Amand-Montrond,
2037,Domaine de Chaumont-sur-Loire,Chaumont-sur-Loire,
2038,Foire du Dauphiné,Romans-sur-Isère,
2039,"Ancona, Corso Garibaldi",Ancona,
2040,Odessa Sea Commercial Port Exhibition Complex,Odessa,
2041,Hotel Novotel Warszawa Airport,Warsaw,
2042,Intercontinental Hotel Moscow - Tverskaya,Moscow,
2043,Palacio de Congresos Euskalduna,Bilbao,
2044,Galopprennbahn Weidenpesch  Racecourse,Cologne,
2045,Venaco,Venaco,
2046,Ukrainian Chamber of Commerce & Industry,Kiev,
2047,"Belexpo - 14, Pobediteley ave.",Minsk,
2048,Fiera di Foggia,Foggia,
2049,Inntalhalle,Rosenheim,
2050,Parque de Feiras e Exposições de Beja,Beja,
2051,Bécherel,Bécherel,
2052,Corso Giuseppe Garibaldi,Fossombrone,
2053,Leipzig,Leipzig,
2054,Luri,Luri,
2055,Palais Beaumont (Centre de Congrès de Pau),Pau,
2056,Foyer Jean Guéhenno,Montolieu,
2057,JW Marriott Bucharest Grand Hotel,Bucharest,
2058,Dolby Screening Room London Soho,London,
2059,Galaxie Amneville,Metz,
2060,Parc Expo Niort,Niort,
2061,Pavillon Baltard,Nogent-sur-Marne,
2062,Sportica - Gravelines,Calais,
2063,WTC Expo,Leeuwarden,
2064,"Espace Rencontre, Annecy-le-vieux",Annecy,
2065,IJssportcentrum Eindhoven,Eindhoven,
2066,Centre culturel Una Volta,Bastia,
2067,Messplatz Darmstadt,Darmstadt,
2068,X Meeting Point Norway,Lillestrøm,
2069,Caveau Castelnau,Reims,
2070,Hotel Das Central,Sölden,
2071,Agora d'Aubagne,Aubagne,
2072,Grote Markt,Gorinchem,
2073,Fira d'Igualada,Igualada,
2074,Esplanade du Pré aux Pêcheurs,Antibes,
2075,Centralvaerkstedet,Aarhus,
2076,HEAD – Genève,Geneve,
2077,Les Prés du Hem,Lille,
2078,"Pallati i Rinise, Kultures dhe i Sporteve",Prishtina,
2079,Pomorze & Kujawy Fair Centre,Bydgoszcz,
2080,Flughafen Tempelhof,Berlin,
2081,The Hague Marriott Hotel,The Hague,
2082,Messecongress Graz,Graz,
2083,Hyatt Regency Paris Etoile,Paris,
2084,International Congress Centre in Katowice,Katowice,
2085,Schloss Hundisburg,Haldensleben,
2086,Vega Parco Scientifico Tecnologico di Venezia,Venice,
2087,Forum de l'Arc,Moutier,
2088,Sporthalle Oberwerth / Conlog Arena,Koblenz,
2089,Pordenone,Pordenone,
2090,Manade de l'étrier,Saint-Gilles,
2091,Parcul Industrial Tetarom III,Cluj-Napoca,
2092,Aarhus Airport,Aarhus,
2093,Schloss Kartzow,Potsdam,
2094,Plage de Berck,Berck,
2095,Schloss Laxenburg,Vienna,
2096,IEC 'Ekaterinburg-Expo',Yekaterinburg,
