id,organizer_name,website,phone,email
1251,"Eagle Eye Expositions, LLC",http://www.eagleeyeexpos.com/,+1 (203) 822-7960,Pmackler@eagleeyeexpos.com
1252,Conférium,http://www.conferium.com/,+1 (418) 522-8182,conference@conferium.com
1253,The eWorld Team S.L.,http://www.the-eworld.com/,+34 93 309 49 41,hello@the-eworld.com
1254,INTA (International Trademark Association),http://www.inta.org/,+1 (212) 642-1700,memberoperations@inta.org
1255,Via Àpia Eventos,http://viaapiaeventos.com.br/,+55 (47) 3336-3314,contato@viaapiaeventos.com.br
1256,National Restaurant Association,http://www.restaurant.org/,+1 (202) 331-5900,info@dineout.org
1257,"JOGS International Exhibits, LLC",http://jogsshow.com/,+1  (213) 629-3030,info@jogsshow.com
1258,Mundo Textil,http://www.mundotextilmag.com.ar/,+54-11-4862-8485,coordinacionmt@fibertel.com.ar
1259,Mondial de la Bière,http://festivalmondialbiere.qc.ca/,+1 (514) 722-9640,mbiere@globetrotter.net
1260,Racine Arts Council,http://www.racineartscouncil.org/,+1 (262) 635-0261,info@racineartscouncil.org
1261,ATD - Association for Talent Developemnt,http://www.astd.org/,+1 (703) 683.8100,
1262,ESA (Entertainment Software Association),http://www.theesa.com/,,esa@theesa.com
1263,Expotrade Argentina,http://www.expotrade.com.ar/,+54 (11) 4779-5300,info@expotrade.com.ar
1264,AIA (Asociación de Industriales de Antofagasta),http://www.aia.cl/,+56 55 2454300,exponor@aia.cl
1265,Reconnaissance International,http://www.reconnaissance-intl.com/,+44 (0)1932 785 680,events@recon-intl.com
1266,Premiere Show Group,http://www.premiereshows.com/,+1 (407) 265-3131,ed@premiereshows.com
1267,CSAA (Central Station Alarm Association International),http://csaaintl.org/,+1 (703) 242-4670,techadmin@csaaintl.org
1268,ESA (Electronic Security Association),http://www.esaweb.org/,+1 (972) 807-6800,
1269,Publitec,http://www.publitec.com.ar/,+54 (11) 4903-9600,info@publitec.com.ar
1270,AIA (American Institute of Architects),http://www.aia.org/,+1 (202) 626-7300,BoardofDirectors@aia.org
1271,CAIP (Cámara Argentina de la Industria Plástica),http://www.caip.org.ar/,+54 (11) 4821-9603,caip@caip.org.ar
1272,"KJ Expositions, Inc.",http://www.inats.com/,+1 (303) 368-0060,Kjexpo@aol.com
1273,AVIXA (Audiovisual and Integrated Experience Association),http://www.avixa.org/,+1 (703) 273-7200,membership@avixa.org
1274,IQPC New York,http://www.iqpc.com/,+1 (212) 885 2700,enquiry@iqpc.com
1275,PMMI Latin America Office,http://www.pmmi.org/,+52 (55) 5545-4254,latina@pmmi.org
1276,Northstar Travel Media LLC.,http://www.northstartravelgroup.com/,+1 (201) 902-2000,
1277,"MP Associates, Inc.",http://www.mpassociates.com/,+1 (303) 530-4562,kevin@mpassociates.com
1278,EventWorx Corporation,http://www.eventworxcorporation.com/,+1 (403) 971-3227,marketing@eventworx.ca
1279,CBAA (Canadian Business Aviation Association),http://www.cbaa.ca/,+1 (613) 236-5611,info@cbaa.ca
1280,Grupo Trade Show,http://www.ts.com.mx/,+52 55 5077-4742,ventas@ts.com.mx
1281,"FIME (International Medical Exposition, Inc).",http://www.fimeshow.com/,+1 (941) 366-2554,Fime@informa.com
1282,Informa Life Sciences Exhibitions,http://informalifesciences.com/en,+971 4.3365161,info@lifesciences-exhibitions.com
1283,AWMA (Air & Waste Management Association),http://www.awma.org/,+1 (412) 232-3444,info@awma.org
1284,"InterTech Americas, Corp.",http://www.latampaper.com/,+1 (813) 940 6989,admin@latampaper.com
1285,SIA (SnowSports Industries America),http://www.snowsports.org/,+1 (435) 657-5140,info@snowsports.org
1286,Vision Star Entertainment Inc,http://www.europaexpo.com/,,BettyPariso@aol.com
1287,ABF (Associação Brasileira de Franchising),http://www.abf.com.br/,+55 (11) 3020-8800,internacional@abf.com.br
1288,Media Edge Communications Inc.,http://www.mediaedge.ca/,+1 (416) 512-8186,info@mediaedge.ca
1289,NSTI (Nano Science and Technology Institute),http://www.nsti.org/,+1 (925) 353-5004,mlaudon@nsti.org
1290,IAHE (International Association for Hydrogen Energy),http://www.iahe.org/,,info@iahe.org
1291,EFCA (Exposiciones y Ferias de la Construcción Argentina),http://www.batev.com.ar/,+54 (11) 4343-7020,info@batev.com.ar
1292,Real District,http://www.realdistrict.ca/,+1 (306) 781-9200,communications@real1884.ca
1293,Caroline County Agricultural Fair Association,http://www.carolinefair.com/,+1 (804) 466-1507,
1294,Landesmesse Stuttgart GmbH,http://www.messe-stuttgart.de/en,+49 711 18560-0,info@messe-stuttgart.de
1295,Westmoreland Arts & Heritage,http://www.artsandheritage.com/,+1 (724) 834 7474,info@artsandheritage.com
1296,Semi North America,http://www.semi.org/,+1 (408) 943 6900,semiexpositions@semi.org
1297,Ludington Area Center for the Arts,http://www.ludingtonartscouncil.org/,+1 231 845 2787,info@ludingtonartscenter.org
1298,WoodenBoat Show,http://www.woodenboat.com/,+1 (207) 359 4651,woodenboat@woodenboat.com
1299,On Time Media LLC,http://www.ontimemedia.com/,+1 (859) 746-6210,
1300,Kutztown Folk Festival,http://www.kutztownfestival.com/,+1 (888) 674 6136,
1301,Cedar City Rotary Club,http://www.cedarcityrotaryclub.com/p/contact-us.html,+1 (435) 267-2145,cedarcityrotaryclub@gmail.com
1302,SPJA (Society for the Promotion of Japanese Animation),http://www.spja.org/,+1 (714)  937-2994,info@spja.org
1303,National Cherry Festival,http://www.cherryfestival.org/,+1 (231) 947-4230,info@cherryfestival.org
1304,Anime Midwest,http://www.animemidwest.com/,,
1305,Toronto Outdoor Art Exhibition,http://www.torontooutdoorart.org/,+1 (416) 408-2754,events@torontooutdoorart.org
1306,Muskegon Lakeshore chamber of commerce,http://www.muskegon.org/,+1 (231) 722-3751,mlcc@muskegon.org
1307,Weld County Colorado,http://www.co.weld.co.us/,+1 (970) 304 6535,jmasarie@weldgov.com
1308,MAIA (Martial Arts Industry Association),http://www.masuccess.com/,+1 (866) 626-6226,info@masuccess.com
1309,Cedar Creek Veterans Foundation,http://tocclairshow.com/ccvf.html,+1 (903) 451-3291,info@ccveteransfoundation.org
1310,La Maison du Festival,http://www.montrealjazzfest.com/en-CA,+ 1 (514) 492-1775,commentaires_jazz@equipespectra.ca
1311,Weatherford Chamber of Commerce,http://www.weatherford-chamber.com/,+1 (817) 596-3801,info@weatherford-chamber.com
1312,Well Link Consultants Ltd,http://www.spinexpo.com/,+852 2824 8581,info@spinexpo.com
1313,Central Pennsylvania Festival of the Arts,http://www.arts-festival.com/,+1 (814) 237 3682,
1314,Lakeland Boat Show,http://www.lakelandboatshow.com/,+1 (727) 894-3644,info@lakelandboatshow.com
1315,Medical Insight,http://www.miinews.com/,+1 (949) 830-5409,info@miinews.com
1316,Messe Frankfurt Mexico,http://www.messefrankfurt.com.mx/,+52 (55) 5545-4488 ext 102,info@mexico.messefrankfurt.com
1317,Circle of Janus Inc.,http://www.circleofjanus.org/,+1 (317) 694-6811,info@inconjunction.org
1318,ASA (American Sportfishing Association),http://www.asafishing.org/,+1 (703) 519.9691,info@asafishing.org
1319,Barr Enterprises,http://www.barrconferences.com/,+1 (301) 668-6001,janet@barrconferences.com
1320,Brookings Summer Arts Festival Committee,http://www.bsaf.com/,+1 (605) 692-787,generalinfo@bsaf.com
1321,"Latin Expo Group, LLC",http://www.latinexpogroup.com/,+1 (786) 293 5186,info@latinexpogroup.com
1322,Digital Signage Expo,http://digitalsignageexpo.net/,+1 (770) 649 0300,info@digitalsignageexpo.net
1323,Auction Comercial Promotora Ltda.,http://www.fipan.com.br/,+55 (11) 3105-6766,fipan@fipan.com.br
1324,Sampapão (Sindicato e Associação dos Industriais de Panificação e Confeitaria de São Paulo),http://www.sindipan.org.br/,+55 (11) 3291-3700,contato@sindipan.org.br
1325,TRA (Texas Restaurant Association),http://www.txrestaurant.org/,+1 (512) 457-4100,membership@tramail.org
1326,AACC (American Association for Clinical Chemistry),http://www.aacc.org/,+1 (800) 892-1400,custserv@aacc.org
1327,Burning Man Project,http://burningman.org/,,
1328,IFPA (International Fresh Produce Association),http://www.freshproduce.com/,+1 (202) 303-3400,memberservices@freshproduce.com
1329,ACM Siggraph,http://www.siggraph.org/,+1 (212) 626-0500,acmhelp@acm.org
1330,IFT (Institute of Food Technologists),http://www.ift.org/,+1 (312) 782-8424,info@ift.org
1331,Ohio Expo Center & State Fair,http://www.ohiostatefair.com/,+1 (614) 644-3247,info@expo.state.oh.us
1332,Iola Old Car Show Inc,http://www.iolaoldcarshow.com/,+1 (715) 445-4000,Information@iolaoldcarshow.com
1333,ISN,http://www.isnweb.com/,+1 (800) 603-4389,
1334,Penton Media Conferences and Exhibitions,http://www.penton.com/,+1 (216) 696-7000,corpcomm@penton.com
1335,Seafair,http://www.seafair.com/,+1 (206) 728 0123,info@seafair.com
1336,ACGA (Association of Clay & Glass Artist of California),http://www.acga.net/,+1 (925) 254-8457,jan_schachter@sbcglobal.net
1337,IFAA (International Folk Art Alliance),http://www.folkartalliance.org/,+1 (505) 992-7600,askus@folkartalliance.org
1338,Renaissance Craftables,http://www.renaissancecraftables.com/,+1 (215) 843-4462,
1339,CCPIA (China Crop Protection Industry Association),http://www.ccpia.com.cn/en,+86 010 84885255,ccpia@126.com
1340,Guilford Art Center,http://www.guilfordartcenter.org/,+1 (203) 453-5947,
1341,Milestone Presentations LLC,http://www.milestoneshows.com/,+1 (303) 690-3233,info@milestoneshows.com
1342,Life Promotions Inc.,http://www.lifepromotions.org/,+1 (920) 738-5588,info@lifepromotions.com
1343,ANDAV (Associação Nacional dos Distribuidores de Insumo Agrícolas e Veterinários),http://www.andav.com.br/,+55 (19) 3203.9884,comunicacao@andav.com.br
1344,Veronafiere,http://www.veronafiere.it/,+39 045 8298111,info@veronafiere.it
1345,Vancouver Wine & Jazz Festival,http://www.vancouverwinejazz.com/,+1 (360) 906-0441,info@vancouverwinejazz.com
1346,Real Alliance,http://real-alliance.com.br/,+55 11 5095 0096,info@bmcomm.com.br
1347,IDEAg Group LLC,http://www.ideaggroup.com/,+1 (800) 827-8007,IDEAg@ideaggroup.com
1348,AFAMJAL (Asociación De Fabricantes De Muebles De Jalisco AC),http://afamjal.com.mx/,+52 33 3343 3400,tecnomueble@afamjal.com.mx
1349,Black Hat,http://www.blackhat.com/,+1 (866) 203 8081,blackhatregistration@informa.com
1350,FedeFruta (Federación Gremial Nacional de Productores de Frutas de Chile),http://www.fedefruta.cl/,+56 (2) 585 45 00,info@fedefruta.cl
1351,Conseil des métiers d'art de Québec,http://www.metiersdart.ca/,+1 (514) 861-2787,info@metiersdart.ca
1352,ABAG (Associação Brasileira de Aviação Geral),http://www.abag.org.br/,+55 (11) 5032-2727,abag@abag.org.br
1353,RISI,http://www.risiinfo.com/,+1 (781) 734.8900,events@risi.com
1354,Solar Promotion GmbH,http://www.intersolar.de/,+49 (0)7231-58598-0,info@intersolar.de
1355,Grupo ArtSim Administrador de Eventos Ltda.,http://www.feiplar.com.br/,+55 11 2899-6381,consultoria@artsim.com.br
1356,ATMA (American Textile Machinery Association),http://www.atmanet.org/,+1 (703) 538-1789,info@atmanet.org
1357,APIPLAST (Asociación Peruana de la Industria del Plástico),http://apiplastperu.com/,+51 952 246 987,apiplast@apiplastperu.com
1358,G -Trade Group,http://www.grafinca.com/,+51 242-4646 / 447-7379,info@perugrafico.com
1359,Festival mode et design de Montréal,http://www.sensationmode.com/,+1 (514) 876-1499,info@sensationmode.com
1360,ICO (International Council of Ophtalmology),http://www.icoph.org/,,info@icoph.org
1361,MEACO (Middle East African Council of Ophthalmology),http://www.meaco.org/,+966 1 466 1085,info@meaco.org
1362,Administradora Dinamica de Negocios,http://www.a-d-n.com.mx/,+52 91-38-29-31,ventas@a-d-n.com.mx
1363,Cintel,http://www.cintel.org.co/,+57 1 6404410,cgamboa@cintel.org.co
1364,Adex,http://www.adexperu.org.pe/,+51 (1) 618-3333,expoalimentaria@adexperu.org.pe
1365,Instituto de Ingenieros de Minas del Perú,http://www.iimp.org.pe/,+51 1 349-0449,postmast@iimp.org.pe
1366,Festival International de la Poésie,http://www.fiptr.com/,+1 (819) 379-9813,mbaribeau@fiptr.com
1367,NAIAS (North American International Auto Show),http://www.naias.com/,+1 (248) 643.0250,
1368,Hannover Fairs USA,http://www.hfusa.com/,+1 (773) 796-4250,iana@hfusa.com
1369,Fredericton Exhibition Ltd.,http://www.frex.ca/,+1 (506) 458-8819,info@nbex.ca
1370,John Bailey & Associates,http://www.baileypr.com/,+1 (248) 362-4200,naias-media@baileypr.com
1371,Creo,http://creoarts.com/,+44 207 886 3077,info@creoarts.com
1372,Grupo um Editora,http://www.boatshow.com.br/,+55 (11) 2186-1000,info@boatshow.com.br
1373,Promex,http://www.promex.com.mx/,+52 81 83 69 68 36,promex@infosel.net.mx
1374,Reuters Events,http://reutersevents.com/,+44 (0) 207 513 8995,clientservices@reutersevents.com
1375,ACOTAPH (Asociación Colombiana de Profesionales en Atención Prehospitalaria),http://www.acotaph.org/,+57 3102636678,acotaphdc@gmail.com
1376,EMS world,http://www.emsworld.com/,+1 (920) 563-1759,Scott@emsworld.com
1377,CEDIA (Custom Electronic Design & Installation Association),http://www.cedia.net/,+1 (317) 328-4336,
1378,AMT (Association For Manufacturing Technology),http://www.amtonline.org/,+1 (800) 524-0475,AMT@amtonline.org
1379,Beauty Fair - Office,http://www.beautyfair.com.br/,+55 (11) 3373-4633,
1380,Duncan McIntosh Co. Inc.,http://www.duncanmcintoshco.com/,+1 (949) 660-6150,
1381,HPP Worldwide,http://www.hppexhibitions.com/,+31 20 - 662 2482,info@hpp.nl
1382,In-Water Power Boat Show,http://acinwaterboatshow.com/,+1 (215) 732-8001,
1383,AMDEE (Asociación Mexicana de Energía Eólica),http://www.amdee.org/,+52 55 5395-9559,DanielaM@amdee.org
1384,GWEC (Global Wind Energy Council),http://www.gwec.net/,+32 2213 1897,info@gwec.net
1385,Grupo Digamma,http://www.digammaperu.com/,+51 1 628 6300,info@expominaperu.com
1386,Tarsus Expositions Inc.,http://www.tarsus.com/,+1 (262) 782-1900,lhansen@tarsusgroup.com
1387,Ralcoh (Ralcoh Agência de Comunicação),http://www.ralcoh.com.br/,+55 (11) 3257-4741,dayan@ralcoh.com.br
1388,"IBP (Instituto Brasileiro de Petróleo, Gás e Biocombustíveis)",http://www.ibp.org.br/,+55 (21) 2112-9000,riooil@ibp.org.br
1389,National Mining Association,http://www.nma.org/,+1 (202) 463-2611,rmaddalena@nma.org
1390,"Kallman Worldwide, Inc.",http://www.kallman.com/,+1 (201) 251-2600,info@kallman.com
1391,Mark Allen Group,http://www.markallengroup.com/,+44 (0)20 7738-5454,mabconferences@markallengroup.com
1392,IMPC (International Mineral Processing Council),http://impc-council.com/,+27 (0)21 650 2752,meg.winter@uct.ac.za
1393,"dmg :: events Middle East, Asia & Africa",http://www.dmgeventsme.com/,+971 4 438 0355,dmgdubai@dmgeventsme.com
1394,"Northstar Travel Media, LLC.",http://www.northstarmeetingsgroup.com/,+1 (310) 954-2525,ledelstein@ntmllc.com
1395,Hemming Group,http://www.hgluk.com/,+44 (0)20 7973 6400,info@hgluk.com
1396,Mercoferias Srl,http://www.expomedical.com.ar/,+54 11-4791-8001,info@expomedical.com.ar
1397,"Schneider Publishing Company, Inc",http://www.schneiderpublishing.com/,+1 (310) 577-3700,info@schneiderpublishing.com
1398,UKIP Media & Events Ltd.,http://www.ukimediaevents.com/,+44 1306 743744,info@ukimediaevents.com
1399,HPP Ecuador Cia. Ltda.,http://www.hppexhibitions.com/,+593-2-2270636,info@hppecuador.com
1400,Pro Andes,http://www.proandes.net/,+56 2 342 42 67,info@expoandes.net
1401,Associação Rural de Lages,http://www.lagesrural.com.br/,+55 (49) 3223 1892,sindicatorural@lagesrural.com.br
1402,Plastic Concept S.A.C.,http://www.expotextilperu.com/,+51 (1) 714 9558,info@expotextilperu.com
1403,Hannover Fairs do Brasil,http://www.hanover.com.br/,+55 (41) 30276707,hmcwb@hanover.com.br
1404,The Fancy Tipple,http://thefancytipple.com/,+44 7440 687349,info@thefancytipple.com
1405,SindusVinho (Sindicato da Indústria do Vinho de São Roque),http://www.sindusvinho.com.br/,+55 (11) 4712-3231,sindusvinho.sr@uol.com.br
1406,"AQAVBS (Association Québecoise des Agences de Vins, Bières et Spiritueux)",http://www.aqavbs.com/,+1 (514) 722-4510,information@aqavbs.com
1407,Osney Media,http://www.osneymedia.co.uk/,+44 (0) 20 7336 4600,info@osneymedia.co.uk
1408,Prometheus Global Media,http://www.filmexpos.com/,+1 (212) 493-4097,robert.sunshine@filmexpos.com
1409,Canadian Ski Council - Conseil Canadien du Ski,http://www.skicanada.org/,+1 (905) 856-4754,help@skicanada.org
1410,International Titanium Association,http://www.titanium.org/,+1 (303) 404-2221,conference@titanium.org
1411,Amartze Events LLC,http://bigboystoysvegas.com/,+1 (424) 253 0773,info@bigboystoysvegas.com
1412,Artaaj Exhibitions,http://www.artaaj.com/,+971 4 321 4747,info@artaaj.com
1413,Artaaj Events Pvt Ltd,http://www.artaaj.com/,+91 80 500 40 777,info@artaaj.com
1414,WEF (Water Environment Federation),http://www.wef.org/,+1 (703) 684-2452,confinfo@wef.org
1415,RPM Brasil,http://www.rpmbrasil.com.br/,+55 (11) 3051-3159,rpmbrasil@rpmbrasil.com.br
1416,PromPerú (Comisión de Promoción del Perú para la Exportación y el Turismo),http://www.promperu.gob.pe/,+51 616-7300,postmaster@promperu.gob.pe
1417,CTIA - The Wireless Association,http://www.ctia.org/,+1 (202) 785-0081,
1418,APEX (Airline Passenger Experience Association),http://www.apex.aero/,+1 (212) 297-2177,info@apex.aero
1419,AWS (American Welding Society),http://www.amweld.org/,+1 (800) 443-9353,info@aws.org
1420,"FMA (Fabricators & Manufacturers Association, International)",http://www.fmanet.org/,+1 (815) 399-8700,info@fmanet.org
1421,WTWH Media LLC,http://www.wtwhmedia.com/,+1 (888) 543-2447,info@wtwhmedia.com
1422,"Robotics Trends, Inc.",http://www.roboticstrends.com/,+1 (508) 663-1500,info@roboticstrends.com
1423,Hospitalmed,http://www.hospitalmed.com.br/,+55 (81) 3049-2549,contato@hospitalmed.com.br
1424,Advamed,http://advamed.org/,+1 (202).434.1372,register@medtechconference.org
1425,"ANTAD (Asociación Nacional de Tiendas de Autoservicio y Departamentales, A.C.)",http://antad.net/,+52 55 5580 9900,
1426,ABEEólica (Associação Brasileira de Energia Eólica e Novas Tecnologias),http://abeeolica.org.br/,+55 (11) 3674-1100,faleconosco@abeeolica.org.br
1427,Sellers Expositions,http://www.sellersusa.com/,+1 (800) 558 8767,info@sellersusa.com
1428,Intermet,http://www.intermetperu.com/,+51 987975959,metalurgia@intermetperu.com
1429,IDFA (International Dairy Foods Association),http://www.idfa.org/,+1 (202) 737-4332,kmadison@ntpshow.com
1430,Réseau Environnement,http://www.reseau-environnement.com/,+1 (514) 270-7110,info@reseau-environnement.com
1431,"PSMJ Resources, Inc.",http://www.psmj.com/,+1 (617) 965-0055,info@psmj.com
1432,CMT (Centre for Management Technology),http://www.cmtevents.com/,+65 6345 7322 / 6346 9132,sasha@cmtsp.com.sg
1433,USGBC (U.S. Green Building Council),http://www.usgbc.org/,,support@register.greenbuildexpo.org
1434,Revista Ferroviaria,http://www.revistaferroviaria.com.br/,+55 11 3059-6063,eventos@revistaferroviaria.com.br
1435,"ANIDIGRAF (Asociación Nacional de Industriales y Distribuidores para la Industria Gráfica, A.C.)",http://www.anidigraf.com.mx/,+52 (55) 5536 2533,info@expografica.com
1436,Aéro Montréal,http://www.aeromontreal.ca/home.html,+1 (514) 987-9330,info@aeromontreal.ca
1437,Creative Events Brazil,http://creativeeventsbrazil.com/en-gb,+55 11 94477 1424,info@creativeeventsbrazil.com
1438,Clarion Events Brazil,http://www.clarionevents.com/,+55 11 3893-1307,vivian.lima@clarionevents.com
1439,Toy Industry Association inc.,http://www.toyassociation.org/,+1 (212) 675 1141,info@toyassociation.org
1440,Servicios Forestales y de Exposiciones,http://www.expocorma.cl/,+56 (2) 688 7978,expocorma@expocorma.cl
1441,ASME (American Society of Mechanical Engineers),http://www.asme.org/,+1 (212) 705-7740,langleyk@asme.org
1442,Ibram (Instituto Brasileiro de Mineração),http://www.ibram.org.br/,+55 (61) 226-9367,ibram@ibram.org.br
1443,ICA (International Cartographic Association),http://www.icaci.org/,,william.cartwright@rmit.edu.au
1444,Graphics Canada Organization,http://www.graphicscanada.com/,+1 (416) 385-2030,danmustata@graphicscanada.com
1445,Nascimento Feiras e Eventos Ltda,http://www.nascimentofeiras.com.br/,+55 11 2338 8688,info@nascimentofeiras.com.br
1446,Famex Organization,http://www.f-airmexico.com.mx/en,+52 (55) 7098 5299,comercial@f-airmexico.com.mx
1447,Aprhorosa,http://www.hortigranjeiros.com.br/,+55 99977-5130,contato@hortigranjeiros.com.br
1448,Messe Frankfurt Feiras,http://www.expoprint.com.br/,+55 11-4688-6000,info@messefrankfurtfeiras.com.br
1449,Guazzelli Messe Frankfurt,http://www.guazzelli.com.br/,+55 (11) 4688 6000,guafair@guazzelli.com.br
1450,BEMA (Baking Industry Suppliers Association),http://www.bema.org/,+1 (913) 338-1300,info@bema.org
1451,MOVERGS (Associação das Indústrias de Móveis do Estado do Rio Grande do Sul),http://www.movergs.com.br/,+55 (54) 2102-2450,movergs@movergs.com.br
1452,Asopartes,http://www.asopartes.com/,+57 (1) 3150506 /11/14,presidente@asopartes.com
2169,Groupe Altice Media,http://www.expressroulartaservices.fr/,+33 (0)1 75 55 10 00,vsalomon@er-services.fr
2170,REECO Austria GmbH,http://www.reeco.eu/index.php?id=3&L=4,+43 (0)662 8226-35,
2171,Filière Peinture Anticorrosion - OHGPI,http://www.filiere-peinture-anticorrosion.fr/,+33 (0)1 58 05 07 57,info@filiere-peinture-anticorrosion.fr
2172,Salon Expo Belgique,http://www.saloncheval.com/,+32 06 38 43 64 45,salonexpobruno@gmail.com
2173,Grupo Eventos,http://www.eventosmotor.com/,+34 986 44 16 70,info@eventosmotor.com
2174,Numismata  International,http://www.numismata.de/,+49 (0) 89 26 83 59,info@numismata.de
2175,Kisaco Research,http://www.kisacoresearch.com/,+44 (0)20 3696 2922,events@kisacoresearch.com
2176,Fondation de la Haute Horlogerie,http://www.hautehorlogerie.org/,+41 (0)22 307 09 90,info@hautehorlogerie.org
2177,Ocean Media Group Ltd.,http://www.oceanmedia.co.uk/,+44 (0)20 7772 8300,Pamela.McSweeney@oceanmedia.co.uk
2178,Vinetum Ltd.,http://www.oenorama.com/,+30 210 7660 560,stergides@vinetum.gr
2179,Comité des Fêtes - L’Isle-sur-la-Sorgue,http://www.cdf-islesurlasorgue.fr/,+33 (0)6 20 94 03 72,contact@cdf-islesurlasorgue.fr
2180,Professional Beauty Show,http://www.professionalbeauty.co.uk/,+44 (0) 20 7351 0536,info@professionalbeauty.co.uk
2181,Gal-Expo,http://www.galexpo.com.ua/en,+380 (322) 970627,exhib@galexpo.lviv.ua
2182,SMBG,http://www.salon-des-meilleures-formations.com/,+33 (0)1 48 57 97 44,nicolas.duval@smbg.fr
2183,CarraraFiere Srl,http://www.carrarafiere.com/,+39 0585 787963,contact@carrarafiere.com
2184,BGS Group LLC.,http://bgs-group.eu/,+312 0808 7321,info@bgs-group.eu
2185,North Atlantic Seafood Forum AS,http://www.nor-seafood.com/,,jjl@nor-seafood.no
2186,Futurebuild,http://www.futurebuild.co.uk/,+44 (0)20 3011 2541,martin.hurn@futurebuild.co.uk
2187,Messezentrum Salzburg GmbH,http://www.mzs.at/en,+43 (0) 662 24 04 0,office@mzs.at
2188,JEC Group,http://www.jeccomposites.com/,+33 (0)1 58 36 15 00,info@jeccomposites.com
2189,Aude Business Events,http://www.aude-events.com/,+34 93 368 62 88,info@aude-events.com
2190,Kenes International,http://www.kenes.com/,+41 22 501 7421,conventions@kenes.com
2191,O.Ö. Energiesparverband,http://www.oec.at/,+43 732-7720-14380,office@esv.or.at
2192,Accès Presse,http://www.accespresse.fr/,+33 (0)6 06 25 45 01 00,akramel@accespresse.fr
2193,Equipe International Srl,http://equipemilano.com/,+39 02 34538354,esxence@equipemilano.com
2194,Messe Magdeburg,http://www.messe-magdeburg.de/,+49 391 886-0,info@messe-magdeburg.de
2195,HMT Hohenstein Messe-Team GmbH,http://www.babymessen.de/,+49 (0) 70 31 791-113,info@baby-messe.de
2196,SEAE - Salon agricole de Tarbes,http://www.salon-agricole.com/,+33 (0)5 62 34 87 44,infos@salon-agricole.com
2197,MEC Paiania,http://www.mec.gr/,+30 2109700855,info@mec.gr
2198,Pelagic Expo,http://www.boatfishing.gr/,+30 210 9700855,info@boatfishingshow.gr
2199,SEFA Events,http://www.sefa-event.com/,+33 (0)1 79 95 80 60,administratif@sefa-event.com
2200,"SNCAO-GA (Syndicat National du Commerce et de l’Antiquité, de l’Occasion et des Galeries d’Art)",http://www.sncao-syndicat.com/,+33 (0)1 47 70 88 78,contact@sncao-syndicat.com
2201,ARIES - Azienda Speciale Camera di Commercio Trieste,http://www.ariestrieste.it/,+39 040 6701240,info@oliocapitale.it
2202,Lahden Messut Oy,http://www.lahdenmessut.fi/,+358 3 525 820,helpdesk@lahdenmessut.fi
2203,Midexpo - Exhibitions & Fairs,http://www.midexpo.ru/,+7 (495) 737 74 79,olga@midexpo.ru
2204,Artecom,http://www.artecom-communication.com/,+33 (0)6 1994 8355,info@artecom-communication.com
2205,Fira de Girona,http://www.firagirona.com/en,+34 972 41 91 00,fira@grn.es
2206,Stocexpo Ltd.,http://www.stocexpo.com/,+44 20 8687 4160,info@stocexpo.com
2207,Efficient Event,http://www.chrpro-expo.fr/,+33 (0)4 95 51 37 33,info@efficient-event.fr
2208,Paris Bridal Fair,http://www.parisbridalfair.com/,+33 (0)1 49 59 30 46,contact@parisbridalfair.com
2209,ASWS Uitgeverij & Beursorganisatie,http://www.asws.nl/en,+31 (0)172 575 888,asws@asws.nl
2210,Digiflor Business,http://digiflor.fr/,+33 (0)6 24 66 31 11,contact@digiflor.fr
2211,Chlorosphere SAS,http://www.chlorosphere.fr/,+33 (0)6 19 86 34 32,contact@chlorosphere.fr
2212,Emap - Metropolis Group,http://www.emap.com/,+44 (0) 20 8752 8181,info@emap.com
2213,Boro-Info Group,http://www.boroinfo.ro/,+40 266 219 392,info@boroinfo.ro
2214,EUROGIN (European Research Organisation on Genital Infection and Neoplasia),http://www.eurogin.com/,+33 (0)1 44 40 01 20,admin@eurogin.com
2215,Rando Expo,http://www.randonnee-nature.com/,+33 (0)1 46 21 11 10,contact@randonnee-nature.com
2216,PG Organisation,http://www.pgorganisation.fr/,+33 (0)1 73 28 72 02,info@pgorganisation.fr
2217,Notre temps,http://www.notretemps.com/,+33 (0)1 74 31 60 60,
2218,Fishing & Hunting Tematic SRL,http://www.fishingandhuntingexpo.ro/,+40 741 185 690,marketing@fishingandhuntingtv.com
2219,Bauen & Wohnen Bremen mbH,http://bau-messen.de/,+49 421 985629 0,info@bau-messen.de
2220,Prim Expo,http://www.primdesign.com/,+359 (2) 8657265,primexpo@primdesign.com
2221,Centre des Expositions du Mans,http://www.lemans-centrexpos.com/,+33 (0)2 43 72 51 00,cem@lemans-centrexpos.com
2222,Montpellier Events,http://www.montpellier-events.com/,+33 (0)4 67 61 67 61,parcexpo@montpellier-events.com
2223,Phedon Organisation,http://www.senioreva.fr/,+33 (0)3 20 14 56 43,contact@phedon.com
2224,SPRL Brussels Design Market,http://designmarket.be/,+32 (0)4 7598 4038,info@designmarket.be
2225,Eve Genre Organisation,http://www.galeriephocea.com/,+33 (0)4 91 94 52 71,galeriephocea@wanadoo.fr
2226,S.C. Pogaro Blue S.R.L.,http://petexpo.ro/english,,organizator@petexpo.ro
2227,Festival Rue des Livres,http://www.festival-ruedeslivres.org/,+33 (0)2 99 38 28 25,atelier-culturel-maurepas@hotmail.fr
